acacia_log|acacia_wood|696359|
red_glazed_terracotta|red_glazed_terracotta|b53b35|
red_mushroom_block|red_mushroom_block|b62524|
red_nether_bricks|red_nether_bricks|440406|
red_sand|red_sand|a95821|
red_sandstone|red_sandstone|a5541d|
red_terracotta|red_terracotta|8f3d2e|
red_wool|red_wool|a02722|
redstone_block|redstone_block|ab1b09|
redstone_ore|redstone_ore|846b6b|
sand|sand|dbd3a0|
sandstone|sandstone|d8d19d|
sea_lantern|sea_lantern|acc7be|
snow|snow_block|effbfb|
soul_sand|soul_sand|544033|
sponge|sponge|c2c354|
spruce_log|spruce_wood|2d1c0c|
spruce_planks|spruce_planks|674d2e|
stone|stone|7d7d7d|
stone_bricks|stone_bricks|7a7a7a|
stripped_acacia_log|stripped_acacia_wood|ae5c3b|
stripped_birch_log|stripped_birch_wood|c4b076|
stripped_dark_oak_log|stripped_dark_oak_wood|604c31|
stripped_jungle_log|stripped_jungle_wood|ab8454|
stripped_oak_log|stripped_oak_wood|b19056|
stripped_spruce_log|stripped_spruce_wood|735934|
terracotta|terracotta|965c42|
wet_sponge|wet_sponge|a09e3f|
white_concrete|white_concrete|cfd5d6|
white_glazed_terracotta|white_glazed_terracotta|bcd4ca|
white_terracotta|white_terracotta|d1b2a1|
white_wool|white_wool|e9ecec|
yellow_concrete|yellow_concrete|f0af15|
yellow_concrete_powder|yellow_concrete_powder|e8c736|
yellow_glazed_terracotta|yellow_glazed_terracotta|eac058|
yellow_terracotta|yellow_terracotta|ba8523|
yellow_wool|yellow_wool|f8c527|
